Dates,Close,Volume
11/5/2018 2:59,62.39,228
11/5/2018 3:00,62.31,408
11/5/2018 3:01,62.28,113
11/5/2018 3:02,62.34,142
11/5/2018 3:03,62.35,134
11/5/2018 3:04,62.31,120
11/5/2018 3:05,62.32,90
11/5/2018 3:06,62.3,60
11/5/2018 3:07,62.27,98
11/5/2018 3:08,62.25,88
11/5/2018 3:09,62.24,112
11/5/2018 3:10,62.26,112
11/5/2018 3:11,62.27,70
11/5/2018 3:12,62.28,128
11/5/2018 3:13,62.31,42
11/5/2018 3:14,62.35,84
11/5/2018 3:15,62.35,84
11/5/2018 3:16,62.35,88
11/5/2018 3:17,62.36,82
11/5/2018 3:18,62.37,82
11/5/2018 3:19,62.35,76
11/5/2018 3:20,62.36,94
11/5/2018 3:21,62.37,79
11/5/2018 3:22,62.41,68
11/5/2018 3:23,62.39,108
11/5/2018 3:24,62.39,116
11/5/2018 3:25,62.42,62
11/5/2018 3:26,62.43,122
11/5/2018 3:27,62.44,102
11/5/2018 3:28,62.49,58
11/5/2018 3:29,62.56,247
11/5/2018 3:30,62.6,192
11/5/2018 3:31,62.59,106
11/5/2018 3:32,62.63,140
11/5/2018 3:33,62.61,104
11/5/2018 3:34,62.59,168
11/5/2018 3:35,62.67,100
11/5/2018 3:36,62.63,60
11/5/2018 3:37,62.66,98
11/5/2018 3:38,62.62,64
11/5/2018 3:39,62.66,122
11/5/2018 3:40,62.7,108
11/5/2018 3:41,62.71,66
11/5/2018 3:42,62.71,60
11/5/2018 3:43,62.67,86
11/5/2018 3:44,62.67,116
11/5/2018 3:45,62.66,76
11/5/2018 3:46,62.64,96
11/5/2018 3:47,62.58,116
11/5/2018 3:48,62.62,64
11/5/2018 3:49,62.63,86
11/5/2018 3:50,62.61,132
11/5/2018 3:51,62.62,126
11/5/2018 3:52,62.6,48
11/5/2018 3:53,62.64,132
11/5/2018 3:54,62.65,90
11/5/2018 3:55,62.64,118
11/5/2018 3:56,62.67,134
11/5/2018 3:57,62.72,118
11/5/2018 3:58,62.72,76
11/5/2018 3:59,62.73,94
11/5/2018 4:00,62.81,106
11/5/2018 4:01,62.88,110
11/5/2018 4:02,62.86,158
11/5/2018 4:03,62.8,72
11/5/2018 4:04,62.8,68
11/5/2018 4:05,62.78,144
11/5/2018 4:06,62.75,86
11/5/2018 4:07,62.72,102
11/5/2018 4:08,62.75,72
11/5/2018 4:09,62.77,48
11/5/2018 4:10,62.77,126
11/5/2018 4:11,62.76,54
11/5/2018 4:12,62.7,136
11/5/2018 4:13,62.66,76
11/5/2018 4:14,62.65,42
11/5/2018 4:15,62.59,104
11/5/2018 4:16,62.5,118
11/5/2018 4:17,62.55,202
11/5/2018 4:18,62.59,104
11/5/2018 4:19,62.62,98
11/5/2018 4:20,62.62,112
11/5/2018 4:21,62.65,194
11/5/2018 4:22,62.62,98
