Dates,Close,Volume
11/5/2018 8:30,63.53,103465
11/5/2018 8:31,63.53,41687
11/5/2018 8:32,63.48,18289
11/5/2018 8:33,63.44,15550
11/5/2018 8:34,63.57,9931
11/5/2018 8:35,63.57,11870
11/5/2018 8:36,63.58,29864
11/5/2018 8:37,63.5585,36748
11/5/2018 8:38,63.485,30463
11/5/2018 8:39,63.51,13984
11/5/2018 8:40,63.5575,18024
11/5/2018 8:41,63.52,22463
11/5/2018 8:42,63.57,27842
11/5/2018 8:43,63.53,8227
11/5/2018 8:44,63.55,10225
11/5/2018 8:45,63.505,5073
11/5/2018 8:46,63.45,16668
11/5/2018 8:47,63.57,14279
11/5/2018 8:48,63.51,15890
11/5/2018 8:49,63.48,6667
11/5/2018 8:50,63.5,25829
11/5/2018 8:51,63.49,12801
11/5/2018 8:52,63.42,20454
11/5/2018 8:53,63.47,27792
11/5/2018 8:54,63.44,12000
11/5/2018 8:55,63.42,9436
11/5/2018 8:56,63.43,6401
11/5/2018 8:57,63.46,7983
11/5/2018 8:58,63.41,6728
11/5/2018 8:59,63.43,9477
11/5/2018 9:00,63.38,8361
11/5/2018 9:01,63.38,8120
11/5/2018 9:02,63.4,22399
11/5/2018 9:03,63.4,13410
11/5/2018 9:04,63.425,6242
11/5/2018 9:05,63.41,11441
11/5/2018 9:06,63.37,10525
11/5/2018 9:07,63.4,11595
11/5/2018 9:08,63.41,5707
11/5/2018 9:09,63.37,16699
11/5/2018 9:10,63.35,16520
11/5/2018 9:11,63.36,11523
11/5/2018 9:12,63.31,8614
11/5/2018 9:13,63.35,11850
11/5/2018 9:14,63.3745,8362
11/5/2018 9:15,63.37,10015
11/5/2018 9:16,63.35,4138
11/5/2018 9:17,63.32,4400
11/5/2018 9:18,63.31,4221
11/5/2018 9:19,63.36,6673
11/5/2018 9:20,63.35,5051
11/5/2018 9:21,63.31,7217
11/5/2018 9:22,63.28,6287
11/5/2018 9:23,63.24,5383
11/5/2018 9:24,63.27,7619
11/5/2018 9:25,63.23,5722
11/5/2018 9:26,63.29,5333
11/5/2018 9:27,63.32,2507
11/5/2018 9:28,63.39,7700
11/5/2018 9:29,63.38,8110
11/5/2018 9:30,63.39,9768
11/5/2018 9:31,63.42,2622
11/5/2018 9:32,63.39,4064
11/5/2018 9:33,63.4125,7755
11/5/2018 9:34,63.405,2300
11/5/2018 9:35,63.46,4932
11/5/2018 9:36,63.41,11860
11/5/2018 9:37,63.41,6100
11/5/2018 9:38,63.44,5217
11/5/2018 9:39,63.42,4100
11/5/2018 9:40,63.42,3394
11/5/2018 9:41,63.45,8021
