date,open,high,low,close
1/2/2008,73.779999,73.959999,72.949997,73.360001
1/3/2008,75.139999,75.239998,74.660004,74.760002
1/4/2008,75.599998,75.620003,73.580002,73.669998
1/7/2008,75.209999,75.279999,74.349998,74.989998
1/8/2008,75.739998,75.870003,73.709999,73.790001
1/9/2008,70.949997,72.010002,70.839996,71.790001
1/10/2008,71.169998,71.699997,70.720001,71.470001
1/11/2008,70.75,70.830002,70.059998,70.150002
1/14/2008,70.57,70.739998,69.760002,70.230003
1/15/2008,68.690002,68.800003,67.360001,67.360001
1/16/2008,67.459999,67.730003,65.610001,65.919998
1/17/2008,65.900002,66.839996,64.449997,64.449997
1/18/2008,65.709999,66.019997,64.220001,65.019997
1/22/2008,58.900002,62.93,58.400002,62.48
1/23/2008,58.849998,62.200001,57.849998,61.380001
1/24/2008,62.84,63.59,61.73,63.549999
1/25/2008,64.889999,65.029999,62.84,63.27
1/28/2008,62.740002,63.84,61.91,63.490002
1/29/2008,63.360001,63.849998,62.59,63.650002
1/30/2008,62.720001,63.799999,62.259998,62.490002
1/31/2008,61.799999,64.050003,61.5,63.950001
2/1/2008,63.34,64.5,63.130001,64.25
2/4/2008,64.169998,65.099998,63.939999,64.410004
2/5/2008,64.709999,64.779999,63.349998,63.48
2/6/2008,64.120003,64.269997,63.560001,63.709999
2/7/2008,63.290001,63.540001,62.380001,63.040001
2/8/2008,63.029999,64.489998,62.950001,64.300003
2/11/2008,64.300003,64.800003,63.610001,64.800003
2/12/2008,65.089996,66.260002,64.889999,65.559998
2/13/2008,65.75,66.839996,65.650002,66.760002
2/14/2008,67,67.129997,66.370003,66.43
2/15/2008,65.839996,66.07,64.849998,65.68
2/19/2008,67.400002,67.5,66.75,66.989998
2/20/2008,65.129997,66.32,64.870003,66.059998
2/21/2008,65.029999,65.379997,64.32,64.419998
2/22/2008,65.57,65.639999,64.360001,65.550003
2/25/2008,66.019997,66.879997,65.720001,66.790001
2/26/2008,66.07,67.559998,65.910004,67.379997
2/27/2008,66.330002,67.139999,66.160004,66.449997
2/28/2008,65.620003,66.480003,65.239998,66.160004
2/29/2008,65.75,65.800003,64.690002,64.870003
3/3/2008,64.080002,65.099998,63.959999,64.629997
3/4/2008,63.279999,64.349998,63.150002,64.099998
3/5/2008,64.620003,65.75,64.489998,65.75
3/6/2008,65.040001,65.239998,63.619999,63.759998
3/7/2008,63.98,64.519997,63.139999,63.860001
3/10/2008,65.269997,65.540001,64.040001,64.510002
