Date,Open,High,Low,Close
1/3/2017,55.240002,55.5,54.869999,55.220001
1/4/2017,55.75,55.93,55.610001,55.779999
1/5/2017,55.950001,56.389999,55.889999,56.27
1/6/2017,55.610001,55.939999,55.580002,55.790001
1/9/2017,55.080002,55.16,54.560001,54.599998
1/10/2017,54.66,54.849998,54.32,54.369999
1/11/2017,54.810001,55.599998,54.66,55.470001
1/12/2017,55.990002,56.040001,55.68,55.709999
1/13/2017,55.57,55.630001,55.34,55.48
1/17/2017,55.59,55.810001,55.509998,55.540001
1/18/2017,55.139999,55.299999,54.77,54.84
1/19/2017,54.540001,54.619999,54.130001,54.52
1/20/2017,55,55.099998,54.700001,54.869999
1/23/2017,54.950001,54.959999,54.540001,54.759998
1/24/2017,54.970001,55.41,54.950001,55.360001
1/25/2017,55.650002,55.790001,55.459999,55.650002
1/26/2017,55.150002,55.34,54.849998,55.09
1/27/2017,54.990002,55.040001,54.759998,54.950001
1/30/2017,54.09,54.23,53.549999,53.709999
1/31/2017,54.619999,54.630001,54.02,54.389999
2/1/2017,54.5,54.549999,53.759998,54.27
2/2/2017,55.110001,55.150002,54.200001,54.57
2/3/2017,54.869999,55.220001,54.709999,54.970001
2/6/2017,54.299999,54.52,54.130001,54.290001
2/7/2017,53.98,54.080002,53.41,53.669998
2/8/2017,52.889999,53.27,52.529999,53.18
2/9/2017,53.18,53.91,53.18,53.709999
2/10/2017,54.040001,54.349998,54.02,54.189999
2/13/2017,54.389999,54.549999,54.25,54.439999
2/14/2017,54.599998,54.669998,54.009998,54.450001
2/15/2017,53.02,53.41,52.98,53.369999
2/16/2017,53.349998,53.509998,52.900002,52.959999
2/17/2017,52.330002,52.490002,52.040001,52.200001
2/21/2017,52.23,52.619999,52.16,52.490002
2/22/2017,51.889999,52.380001,51.779999,51.98
2/23/2017,52.549999,52.68,52.209999,52.48
2/24/2017,51.709999,51.950001,51.540001,51.720001
2/27/2017,51.75,52.049999,51.75,51.880001
2/28/2017,51.740002,51.959999,51.639999,51.889999
3/1/2017,52.139999,52.48,52.130001,52.349998
3/2/2017,52.330002,52.5,52.23,52.23
3/3/2017,52.299999,52.650002,52.27,52.459999
3/6/2017,52.290001,52.700001,52.18,52.689999
3/7/2017,52.580002,52.669998,52.369999,52.450001
