,open,high,low,close
2018-01-02 11:00:00,41.85,41.86,41.85,41.86
2018-01-02 11:01:00,41.9,41.9,41.89,41.89
2018-01-02 11:02:00,41.9,41.9,41.9,41.9
2018-01-02 11:03:00,41.9,41.9,41.9,41.9
2018-01-02 11:04:00,41.89,41.9,41.885,41.9
2018-01-02 11:05:00,41.9,41.9,41.89,41.9
2018-01-02 11:06:00,41.89,41.9,41.89,41.9
2018-01-02 11:07:00,41.9,41.905,41.9,41.905
2018-01-02 11:08:00,41.905,41.91,41.9,41.9
2018-01-02 11:09:00,41.93,41.93,41.93,41.93
2018-01-02 11:10:00,41.93,41.935,41.93,41.93
2018-01-02 11:11:00,41.93,41.93,41.9,41.9
2018-01-02 11:12:00,41.9,41.9,41.89,41.9
2018-01-02 11:13:00,41.93,41.93,41.93,41.93
2018-01-02 11:14:00,41.95,41.96,41.95,41.96
2018-01-02 11:15:00,41.93,41.935,41.93,41.93
2018-01-02 11:16:00,41.915,41.915,41.915,41.915
2018-01-02 11:17:00,41.915,41.93,41.91,41.93
2018-01-02 11:18:00,41.97,41.975,41.97,41.97
2018-01-02 11:19:00,42.0,42.0,41.99,41.99
2018-01-02 11:20:00,41.985,41.985,41.985,41.985
2018-01-02 11:21:00,42.005,42.005,42.005,42.005
2018-01-02 11:22:00,42.005,42.005,42.005,42.005
2018-01-02 11:23:00,42.015,42.015,42.01,42.015
2018-01-02 11:24:00,41.995,41.995,41.995,41.995
2018-01-02 11:25:00,41.975,41.975,41.96,41.96
2018-01-02 11:26:00,41.945,41.945,41.945,41.945
2018-01-02 11:27:00,41.935,41.945,41.935,41.945
2018-01-02 11:28:00,41.94,41.97,41.94,41.97
2018-01-02 11:29:00,42.0,42.0,42.0,42.0
2018-01-02 11:30:00,41.985,41.985,41.97,41.97
2018-01-02 11:31:00,42.0,42.0,41.99,41.99
2018-01-02 11:32:00,41.99,41.99,41.99,41.99
2018-01-02 11:33:00,42.0,42.0,42.0,42.0
2018-01-02 11:34:00,42.005,42.005,41.995,41.995
2018-01-02 11:35:00,42.0,42.005,42.0,42.005
2018-01-02 11:36:00,42.015,42.04,42.015,42.03
2018-01-02 11:37:00,42.04,42.05,42.035,42.045
2018-01-02 11:38:00,42.04,42.04,42.04,42.04
2018-01-02 11:39:00,42.04,42.04,42.03,42.04
2018-01-02 11:40:00,42.04,42.045,42.04,42.045
2018-01-02 11:41:00,42.04,42.04,42.03,42.03
2018-01-02 11:42:00,42.03,42.03,42.03,42.03
2018-01-02 11:43:00,42.03,42.03,42.03,42.03
2018-01-02 11:44:00,42.03,42.03,42.03,42.03
2018-01-02 11:45:00,42.035,42.04,42.03,42.04
2018-01-02 11:46:00,42.03,42.03,42.03,42.03
2018-01-02 11:47:00,42.04,42.04,42.04,42.04
2018-01-02 11:48:00,42.04,42.04,42.025,42.04
2018-01-02 11:49:00,42.06,42.06,42.06,42.06
2018-01-02 11:50:00,42.06,42.06,42.06,42.06
2018-01-02 11:51:00,42.04,42.04,42.04,42.04
2018-01-02 11:52:00,42.04,42.04,42.04,42.04
2018-01-02 11:53:00,42.04,42.04,42.04,42.04
2018-01-02 11:54:00,42.07,42.07,42.065,42.07
2018-01-02 11:55:00,42.08,42.09,42.08,42.09
2018-01-02 11:56:00,42.1,42.1,42.1,42.1
2018-01-02 11:57:00,42.1,42.115,42.1,42.11
2018-01-02 11:58:00,42.11,42.11,42.11,42.11
2018-01-02 11:59:00,42.1,42.1,42.07,42.07
2018-01-02 12:00:00,42.07,42.07,42.07,42.07
2018-01-02 12:01:00,42.07,42.07,42.07,42.07
2018-01-02 12:02:00,42.07,42.075,42.07,42.07
2018-01-02 12:03:00,42.07,42.085,42.07,42.085
2018-01-02 12:04:00,42.07,42.07,42.07,42.07
2018-01-02 12:05:00,42.07,42.07,42.07,42.07
2018-01-02 12:06:00,42.05,42.05,42.05,42.05
2018-01-02 12:07:00,42.04,42.04,42.04,42.04
2018-01-02 12:08:00,42.03,42.03,42.03,42.03
2018-01-02 12:09:00,42.04,42.065,42.04,42.065
2018-01-02 12:10:00,42.07,42.08,42.07,42.08
2018-01-02 12:11:00,42.07,42.07,42.07,42.07
2018-01-02 12:12:00,42.07,42.07,42.07,42.07
2018-01-02 12:13:00,42.085,42.085,42.085,42.085
2018-01-02 12:14:00,42.095,42.095,42.095,42.095
2018-01-02 12:15:00,42.11,42.11,42.095,42.095
2018-01-02 12:16:00,42.095,42.095,42.095,42.095
2018-01-02 12:17:00,42.11,42.11,42.11,42.11
2018-01-02 12:18:00,42.11,42.11,42.1,42.11
2018-01-02 12:19:00,42.11,42.11,42.1,42.1
2018-01-02 12:20:00,42.1,42.1,42.095,42.095
2018-01-02 12:21:00,42.07,42.07,42.07,42.07
2018-01-02 12:22:00,42.04,42.045,42.04,42.045
2018-01-02 12:23:00,42.04,42.04,42.03,42.03
2018-01-02 12:24:00,42.03,42.03,42.015,42.025
2018-01-02 12:25:00,42.03,42.03,42.025,42.03
2018-01-02 12:26:00,42.03,42.03,42.03,42.03
2018-01-02 12:27:00,42.005,42.005,42.0,42.0
2018-01-02 12:28:00,42.03,42.04,42.03,42.04
2018-01-02 12:29:00,42.04,42.04,42.025,42.03
2018-01-02 12:30:00,42.03,42.045,42.03,42.04
2018-01-02 12:31:00,42.07,42.07,42.07,42.07
2018-01-02 12:32:00,42.07,42.09,42.07,42.09
2018-01-02 12:33:00,42.11,42.115,42.11,42.115
2018-01-02 12:34:00,42.14,42.15,42.14,42.15
2018-01-02 12:35:00,42.15,42.155,42.145,42.15
2018-01-02 12:36:00,42.145,42.145,42.14,42.14
2018-01-02 12:37:00,42.14,42.14,42.14,42.14
2018-01-02 12:38:00,42.125,42.125,42.115,42.115
2018-01-02 12:39:00,42.135,42.135,42.135,42.135
2018-01-02 12:40:00,42.14,42.14,42.14,42.14
2018-01-02 12:41:00,42.135,42.145,42.135,42.145
2018-01-02 12:42:00,42.135,42.135,42.135,42.135
2018-01-02 12:43:00,42.135,42.14,42.135,42.135
2018-01-02 12:44:00,42.14,42.14,42.14,42.14
2018-01-02 12:45:00,42.145,42.145,42.145,42.145
2018-01-02 12:46:00,42.14,42.14,42.14,42.14
2018-01-02 12:47:00,42.14,42.14,42.14,42.14
2018-01-02 12:48:00,42.15,42.155,42.15,42.155
2018-01-02 12:49:00,42.155,42.16,42.155,42.16
2018-01-02 12:50:00,42.175,42.18,42.175,42.175
2018-01-02 12:51:00,42.175,42.18,42.175,42.18
2018-01-02 12:52:00,42.175,42.175,42.175,42.175
2018-01-02 12:53:00,42.18,42.18,42.175,42.175
2018-01-02 12:54:00,42.17,42.17,42.17,42.17
2018-01-02 12:55:00,42.185,42.185,42.175,42.175
2018-01-02 12:56:00,42.18,42.18,42.18,42.18
2018-01-02 12:57:00,42.18,42.18,42.18,42.18
2018-01-02 12:58:00,42.165,42.165,42.165,42.165
2018-01-02 12:59:00,42.18,42.18,42.18,42.18
2018-01-02 13:00:00,42.195,42.195,42.195,42.195
2018-01-02 13:01:00,42.195,42.195,42.195,42.195
2018-01-02 13:02:00,42.175,42.175,42.175,42.175
2018-01-02 13:03:00,42.175,42.175,42.175,42.175
2018-01-02 13:04:00,42.175,42.175,42.175,42.175
2018-01-02 13:05:00,42.175,42.175,42.175,42.175
2018-01-02 13:06:00,42.175,42.175,42.175,42.175
2018-01-02 13:07:00,42.175,42.175,42.175,42.175
2018-01-02 13:08:00,42.175,42.185,42.175,42.185
2018-01-02 13:09:00,42.195,42.195,42.195,42.195
2018-01-02 13:10:00,42.195,42.195,42.195,42.195
2018-01-02 13:11:00,42.195,42.195,42.195,42.195
2018-01-02 13:12:00,42.2,42.2,42.195,42.195
2018-01-02 13:13:00,42.18,42.18,42.18,42.18
2018-01-02 13:14:00,42.185,42.185,42.185,42.185
2018-01-02 13:15:00,42.19,42.195,42.19,42.195
2018-01-02 13:16:00,42.195,42.215,42.195,42.215
2018-01-02 13:17:00,42.225,42.225,42.225,42.225
2018-01-02 13:18:00,42.225,42.235,42.225,42.235
