,open,high,low,close
2018-01-02 11:00:00,67.005,67.005,67.005,67.005
2018-01-02 11:01:00,67.005,67.005,67.005,67.005
2018-01-02 11:02:00,67.005,67.005,67.005,67.005
2018-01-02 11:03:00,67.005,67.005,67.005,67.005
2018-01-02 11:04:00,67.005,67.005,67.005,67.005
2018-01-02 11:05:00,67.005,67.005,67.005,67.005
2018-01-02 11:06:00,67.005,67.005,67.005,67.005
2018-01-02 11:07:00,67.005,67.005,67.005,67.005
2018-01-02 11:08:00,67.005,67.005,67.005,67.005
2018-01-02 11:09:00,67.1,67.1,67.1,67.1
2018-01-02 11:10:00,67.1,67.1,67.1,67.1
2018-01-02 11:11:00,67.1,67.1,67.1,67.1
2018-01-02 11:12:00,67.1,67.1,67.1,67.1
2018-01-02 11:13:00,67.125,67.125,67.125,67.125
2018-01-02 11:14:00,67.125,67.125,67.125,67.125
2018-01-02 11:15:00,67.125,67.125,67.125,67.125
2018-01-02 11:16:00,67.125,67.125,67.125,67.125
2018-01-02 11:17:00,67.125,67.125,67.125,67.125
2018-01-02 11:18:00,67.205,67.205,67.205,67.205
2018-01-02 11:19:00,67.195,67.195,67.195,67.195
2018-01-02 11:20:00,67.195,67.195,67.195,67.195
2018-01-02 11:21:00,67.255,67.255,67.255,67.255
2018-01-02 11:22:00,67.255,67.255,67.255,67.255
2018-01-02 11:23:00,67.225,67.225,67.225,67.225
2018-01-02 11:24:00,67.23,67.23,67.23,67.23
2018-01-02 11:25:00,67.2,67.2,67.2,67.2
2018-01-02 11:26:00,67.2,67.2,67.2,67.2
2018-01-02 11:27:00,67.2,67.2,67.2,67.2
2018-01-02 11:28:00,67.2,67.2,67.2,67.2
2018-01-02 11:29:00,67.2,67.2,67.2,67.2
2018-01-02 11:30:00,67.19,67.19,67.19,67.19
2018-01-02 11:31:00,67.19,67.19,67.19,67.19
2018-01-02 11:32:00,67.19,67.19,67.19,67.19
2018-01-02 11:33:00,67.2,67.2,67.2,67.2
2018-01-02 11:34:00,67.2,67.2,67.2,67.2
2018-01-02 11:35:00,67.2,67.2,67.2,67.2
2018-01-02 11:36:00,67.2,67.2,67.2,67.2
2018-01-02 11:37:00,67.2,67.2,67.2,67.2
2018-01-02 11:38:00,67.2,67.2,67.2,67.2
2018-01-02 11:39:00,67.2,67.2,67.2,67.2
2018-01-02 11:40:00,67.2,67.2,67.2,67.2
2018-01-02 11:41:00,67.2,67.2,67.2,67.2
2018-01-02 11:42:00,67.18,67.18,67.165,67.165
2018-01-02 11:43:00,67.165,67.165,67.165,67.165
2018-01-02 11:44:00,67.165,67.165,67.165,67.165
2018-01-02 11:45:00,67.165,67.165,67.165,67.165
2018-01-02 11:46:00,67.165,67.165,67.165,67.165
2018-01-02 11:47:00,67.165,67.165,67.165,67.165
2018-01-02 11:48:00,67.165,67.165,67.165,67.165
2018-01-02 11:49:00,67.165,67.165,67.165,67.165
2018-01-02 11:50:00,67.185,67.185,67.185,67.185
2018-01-02 11:51:00,67.185,67.185,67.185,67.185
2018-01-02 11:52:00,67.185,67.185,67.185,67.185
2018-01-02 11:53:00,67.215,67.215,67.215,67.215
2018-01-02 11:54:00,67.265,67.27,67.265,67.27
