Dates,Close,Volume
11/5/2018 2:59,41.47,130
11/5/2018 3:00,41.45,440
11/5/2018 3:01,41.47,315
11/5/2018 3:02,41.5,256
11/5/2018 3:03,41.53,584
11/5/2018 3:04,41.52,192
11/5/2018 3:05,41.52,240
11/5/2018 3:06,41.52,200
11/5/2018 3:07,41.52,320
11/5/2018 3:08,41.5,136
11/5/2018 3:09,41.51,88
11/5/2018 3:10,41.51,314
11/5/2018 3:11,41.52,96
11/5/2018 3:12,41.53,160
11/5/2018 3:13,41.54,128
11/5/2018 3:14,41.54,240
11/5/2018 3:15,41.52,184
11/5/2018 3:16,41.52,240
11/5/2018 3:17,41.5,344
11/5/2018 3:18,41.5,526
11/5/2018 3:19,41.47,374
11/5/2018 3:20,41.45,256
11/5/2018 3:21,41.45,214
11/5/2018 3:22,41.47,480
11/5/2018 3:23,41.45,296
11/5/2018 3:24,41.43,376
11/5/2018 3:25,41.45,296
11/5/2018 3:26,41.46,544
11/5/2018 3:27,41.48,304
11/5/2018 3:28,41.51,248
11/5/2018 3:29,41.54,1230
11/5/2018 3:30,41.61,1304
11/5/2018 3:31,41.59,312
11/5/2018 3:32,41.61,192
11/5/2018 3:33,41.6,256
11/5/2018 3:34,41.59,344
11/5/2018 3:35,41.62,136
11/5/2018 3:36,41.6,312
11/5/2018 3:37,41.64,200
11/5/2018 3:38,41.61,512
11/5/2018 3:39,41.64,328
11/5/2018 3:40,41.65,520
11/5/2018 3:41,41.62,384
11/5/2018 3:42,41.63,248
11/5/2018 3:43,41.59,328
11/5/2018 3:44,41.61,312
11/5/2018 3:45,41.59,296
11/5/2018 3:46,41.57,272
11/5/2018 3:47,41.54,384
11/5/2018 3:48,41.56,224
11/5/2018 3:49,41.56,304
11/5/2018 3:50,41.54,320
11/5/2018 3:51,41.57,368
11/5/2018 3:52,41.56,272
11/5/2018 3:53,41.59,576
11/5/2018 3:54,41.59,256
11/5/2018 3:55,41.58,336
11/5/2018 3:56,41.63,288
11/5/2018 3:57,41.66,384
11/5/2018 3:58,41.66,144
11/5/2018 3:59,41.67,168
11/5/2018 4:00,41.71,288
11/5/2018 4:01,41.77,416
11/5/2018 4:02,41.82,392
11/5/2018 4:03,41.78,232
11/5/2018 4:04,41.78,264
11/5/2018 4:05,41.76,534
11/5/2018 4:06,41.74,304
11/5/2018 4:07,41.73,456
11/5/2018 4:08,41.72,176
11/5/2018 4:09,41.73,192
11/5/2018 4:10,41.73,496
11/5/2018 4:11,41.72,208
11/5/2018 4:12,41.69,144
11/5/2018 4:13,41.68,392
11/5/2018 4:14,41.66,256
11/5/2018 4:15,41.61,800
11/5/2018 4:16,41.57,304
11/5/2018 4:17,41.6,232
11/5/2018 4:18,41.61,216
11/5/2018 4:19,41.64,368
11/5/2018 4:20,41.63,232
11/5/2018 4:21,41.66,344
11/5/2018 4:22,41.65,240
11/5/2018 4:23,41.66,200
11/5/2018 4:24,41.68,120
11/5/2018 4:25,41.68,184
11/5/2018 4:26,41.71,520
11/5/2018 4:27,41.75,440
11/5/2018 4:28,41.75,192
11/5/2018 4:29,41.81,168
11/5/2018 4:30,41.82,536
11/5/2018 4:31,41.83,468
11/5/2018 4:32,41.78,312
11/5/2018 4:33,41.8,416
11/5/2018 4:34,41.79,320
11/5/2018 4:35,41.8,296
11/5/2018 4:36,41.81,280
11/5/2018 4:37,41.82,72
11/5/2018 4:38,41.84,168
11/5/2018 4:39,41.84,344
11/5/2018 4:40,41.8,216
11/5/2018 4:41,41.85,368
11/5/2018 4:42,41.87,360
11/5/2018 4:43,41.92,352
11/5/2018 4:44,41.92,360
11/5/2018 4:45,41.94,320
11/5/2018 4:46,41.92,272
11/5/2018 4:47,41.9,208
11/5/2018 4:48,41.91,256
11/5/2018 4:49,41.91,72
11/5/2018 4:50,41.92,64
11/5/2018 4:51,41.93,128
11/5/2018 4:52,41.95,392
11/5/2018 4:53,41.95,232
11/5/2018 4:54,41.95,152
11/5/2018 4:55,41.9,383
11/5/2018 4:56,41.93,368
11/5/2018 4:57,41.93,152
11/5/2018 4:58,41.93,248
11/5/2018 4:59,41.91,344
11/5/2018 5:00,41.93,143
11/5/2018 5:01,41.9,368
11/5/2018 5:02,41.89,192
11/5/2018 5:03,41.88,48
11/5/2018 5:04,41.9,365
11/5/2018 5:05,41.89,328
11/5/2018 5:06,41.9,55
11/5/2018 5:07,41.89,207
11/5/2018 5:08,41.91,320
11/5/2018 5:09,41.9,283
11/5/2018 5:10,41.93,240
11/5/2018 5:11,41.9,152
11/5/2018 5:12,41.88,256
11/5/2018 5:13,41.85,168
11/5/2018 5:14,41.84,408
11/5/2018 5:15,41.83,208
11/5/2018 5:16,41.87,328
11/5/2018 5:17,41.87,176
11/5/2018 5:18,41.88,32
11/5/2018 5:19,41.9,232
11/5/2018 5:20,41.91,192
11/5/2018 5:21,41.9,168
11/5/2018 5:22,41.91,272
11/5/2018 5:23,41.95,384
11/5/2018 5:24,41.95,144
11/5/2018 5:25,41.94,104
11/5/2018 5:26,41.95,128
11/5/2018 5:27,41.94,112
11/5/2018 5:28,41.93,216
11/5/2018 5:29,41.93,104
11/5/2018 5:30,41.91,337
11/5/2018 5:31,41.92,368
11/5/2018 5:32,41.9,224
11/5/2018 5:33,41.88,226
11/5/2018 5:34,41.89,136
11/5/2018 5:35,41.9,152
11/5/2018 5:36,41.87,184
11/5/2018 5:37,41.89,520
11/5/2018 5:38,41.9,248
11/5/2018 5:39,41.89,176
11/5/2018 5:40,41.89,232
11/5/2018 5:41,41.9,312
11/5/2018 5:42,41.89,152
11/5/2018 5:43,41.85,216
11/5/2018 5:44,41.85,248
11/5/2018 5:45,41.86,168
11/5/2018 5:46,41.87,120
11/5/2018 5:47,41.9,280
11/5/2018 5:48,41.92,320
11/5/2018 5:49,41.95,248
11/5/2018 5:50,41.98,256
11/5/2018 5:51,42,120
11/5/2018 5:52,42,216
11/5/2018 5:53,41.99,168
11/5/2018 5:54,42.01,136
11/5/2018 5:55,42.03,104
11/5/2018 5:56,42,360
11/5/2018 5:57,42.01,473
11/5/2018 5:58,42.03,312
11/5/2018 5:59,41.9,452
11/5/2018 6:00,41.97,20
11/5/2018 6:01,41.97,86
11/5/2018 6:02,42.03,655
11/5/2018 6:03,42.05,256
11/5/2018 6:04,42.07,256
11/5/2018 6:05,42.07,262
11/5/2018 6:06,42.05,268
11/5/2018 6:07,42.02,944
11/5/2018 6:08,42.02,544
11/5/2018 6:09,42.03,136
11/5/2018 6:10,42.05,580
11/5/2018 6:11,42.03,588
11/5/2018 6:12,41.99,286
11/5/2018 6:13,42,96
11/5/2018 6:14,41.95,369
11/5/2018 6:15,41.96,254
11/5/2018 6:16,41.96,64
11/5/2018 6:17,41.93,762
11/5/2018 6:18,41.94,1001
11/5/2018 6:19,41.93,1120
11/5/2018 6:20,41.94,840
11/5/2018 6:21,41.93,394
11/5/2018 6:22,41.92,404
11/5/2018 6:23,41.92,394
11/5/2018 6:24,41.93,528
11/5/2018 6:25,41.95,378
11/5/2018 6:26,41.99,255
11/5/2018 6:28,42,219
11/5/2018 6:29,42.01,482
11/5/2018 6:30,42.01,1177
11/5/2018 6:31,42.02,1063
11/5/2018 6:32,42,562
11/5/2018 6:33,42.01,251
11/5/2018 6:34,42,315
11/5/2018 6:35,42.03,1532
11/5/2018 6:36,42.05,464
11/5/2018 6:37,42.09,677
11/5/2018 6:38,42.12,939
11/5/2018 6:39,42.17,1557
11/5/2018 6:40,42.18,1573
11/5/2018 6:41,42.15,1411
11/5/2018 6:42,42.14,1638
11/5/2018 6:43,42.11,3758
11/5/2018 6:44,42.09,961
11/5/2018 6:45,42.07,902
11/5/2018 6:46,42.09,2955
11/5/2018 6:47,42.09,1117
11/5/2018 6:48,42.1,816
11/5/2018 6:49,42.1,577
11/5/2018 6:50,42.1,701
11/5/2018 6:51,42.14,708
11/5/2018 6:52,42.11,592
11/5/2018 6:53,42.1,900
11/5/2018 6:54,42.02,7776
11/5/2018 6:55,42.02,3291
11/5/2018 6:56,42.03,1542
11/5/2018 6:57,42.06,1831
11/5/2018 6:58,42.07,2094
11/5/2018 6:59,42.1,879
11/5/2018 7:00,42.15,246
11/5/2018 7:01,42.15,240
11/5/2018 7:02,42.12,388
11/5/2018 7:03,42.06,536
11/5/2018 7:04,42.06,156
11/5/2018 7:05,42.09,320
11/5/2018 7:06,42.09,88
11/5/2018 7:07,42.08,277
11/5/2018 7:08,42.07,274
11/5/2018 7:09,42.06,297
11/5/2018 7:10,42.06,97
11/5/2018 7:11,42.09,406
11/5/2018 7:12,42.1,332
11/5/2018 7:13,42.1,40
11/5/2018 7:14,42.1,16
11/5/2018 7:15,42.12,356
11/5/2018 7:16,42.12,380
11/5/2018 7:17,42.12,320
11/5/2018 7:18,42.12,144
11/5/2018 7:19,42.11,517
11/5/2018 7:20,42.14,286
11/5/2018 7:21,42.18,196
11/5/2018 7:22,42.19,277
11/5/2018 7:23,42.18,165
11/5/2018 7:24,42.19,346
11/5/2018 7:25,42.2,219
11/5/2018 7:26,42.18,507
11/5/2018 7:27,42.17,164
11/5/2018 7:28,42.14,442
11/5/2018 7:29,42.14,345
11/5/2018 7:30,42.16,210
11/5/2018 7:31,42.16,120
11/5/2018 7:32,42.18,435
11/5/2018 7:33,42.17,201
11/5/2018 7:34,42.18,49
11/5/2018 7:35,42.15,343
11/5/2018 7:36,42.15,164
11/5/2018 7:37,42.15,276
11/5/2018 7:38,42.16,165
11/5/2018 7:39,42.14,714
11/5/2018 7:40,42.15,508
11/5/2018 7:41,42.16,248
11/5/2018 7:42,42.16,48
11/5/2018 7:43,42.15,209
11/5/2018 7:44,42.16,204
11/5/2018 7:45,42.21,392
11/5/2018 7:46,42.22,248
11/5/2018 7:47,42.22,8
11/5/2018 7:48,42.25,251
11/5/2018 7:49,42.28,309
11/5/2018 7:50,42.25,476
11/5/2018 7:51,42.26,536
11/5/2018 7:52,42.23,357
11/5/2018 7:53,42.22,182
11/5/2018 7:54,42.25,224
11/5/2018 7:55,42.25,41
11/5/2018 7:56,42.26,178
11/5/2018 7:57,42.26,446
11/5/2018 7:58,42.26,370
11/5/2018 7:59,42.27,216
11/5/2018 8:00,42.26,360
11/5/2018 8:01,42.26,723
11/5/2018 8:02,42.29,654
11/5/2018 8:03,42.31,337
11/5/2018 8:04,42.36,952
11/5/2018 8:05,42.36,573
11/5/2018 8:06,42.36,580
11/5/2018 8:07,42.41,1244
11/5/2018 8:08,42.43,451
11/5/2018 8:09,42.4,496
11/5/2018 8:10,42.42,450
11/5/2018 8:11,42.41,525
11/5/2018 8:12,42.4,1066
11/5/2018 8:13,42.47,871
11/5/2018 8:14,42.44,975
11/5/2018 8:15,42.47,809
11/5/2018 8:16,42.5,1669
11/5/2018 8:17,42.46,395
11/5/2018 8:18,42.47,211
11/5/2018 8:19,42.46,289
11/5/2018 8:20,42.46,1110
11/5/2018 8:21,42.45,483
11/5/2018 8:22,42.47,1739
11/5/2018 8:23,42.48,1438
11/5/2018 8:24,42.52,1182
11/5/2018 8:25,42.51,1314
11/5/2018 8:26,42.52,353
11/5/2018 8:27,42.51,815
11/5/2018 8:28,42.6,1341
11/5/2018 8:29,42.53,1258
11/5/2018 8:30,42.55,5892
11/5/2018 8:31,42.55,7016
11/5/2018 8:32,42.45,17387
11/5/2018 8:33,42.47,21895
11/5/2018 8:34,42.54,23061
11/5/2018 8:35,42.52,17691
11/5/2018 8:36,42.55,27654
11/5/2018 8:37,42.57,18858
11/5/2018 8:38,42.5,6829
11/5/2018 8:39,42.53,12525
11/5/2018 8:40,42.58,12081
11/5/2018 8:41,42.54,7716
11/5/2018 8:42,42.62,20934
11/5/2018 8:43,42.58,30253
11/5/2018 8:44,42.62,22851
11/5/2018 8:45,42.53,20297
11/5/2018 8:46,42.49,24893
11/5/2018 8:47,42.55,40076
11/5/2018 8:48,42.5,26285
11/5/2018 8:49,42.47,21079
11/5/2018 8:50,42.52,22336
11/5/2018 8:51,42.46,24562
11/5/2018 8:52,42.42,31118
11/5/2018 8:53,42.42,24727
11/5/2018 8:54,42.38,22247
11/5/2018 8:55,42.4,21663
11/5/2018 8:56,42.44,24145
11/5/2018 8:57,42.43,24165
11/5/2018 8:58,42.4,7741
11/5/2018 8:59,42.41,6551
11/5/2018 9:00,42.4,7154
11/5/2018 9:01,42.39,9465
11/5/2018 9:02,42.42,34506
11/5/2018 9:03,42.43,24006
11/5/2018 9:04,42.44,20131
11/5/2018 9:05,42.43,16980
11/5/2018 9:06,42.4,24757
11/5/2018 9:07,42.43,22076
11/5/2018 9:08,42.42,20302
11/5/2018 9:09,42.39,15302
11/5/2018 9:10,42.4,17528
11/5/2018 9:11,42.37,18761
11/5/2018 9:12,42.34,13603
11/5/2018 9:13,42.38,32711
11/5/2018 9:14,42.39,39797
11/5/2018 9:15,42.39,13345
11/5/2018 9:16,42.35,16593
11/5/2018 9:17,42.35,20845
11/5/2018 9:18,42.33,19424
11/5/2018 9:19,42.38,32133
11/5/2018 9:20,42.36,18262
11/5/2018 9:21,42.33,21066
11/5/2018 9:22,42.33,24449
11/5/2018 9:23,42.3,14996
11/5/2018 9:24,42.32,22655
11/5/2018 9:25,42.27,22463
11/5/2018 9:26,42.3,30336
11/5/2018 9:27,42.33,18818
11/5/2018 9:28,42.35,29248
11/5/2018 9:29,42.36,31072
11/5/2018 9:30,42.37,35319
11/5/2018 9:31,42.4,21107
11/5/2018 9:32,42.42,32753
11/5/2018 9:33,42.43,25269
11/5/2018 9:34,42.43,16534
11/5/2018 9:35,42.46,32228
11/5/2018 9:36,42.42,9306
11/5/2018 9:37,42.44,14347
11/5/2018 9:38,42.45,22727
11/5/2018 9:39,42.44,17122
11/5/2018 9:40,42.48,18167
11/5/2018 9:41,42.49,27308
11/5/2018 9:42,42.48,20780
11/5/2018 9:43,42.46,25261
11/5/2018 9:44,42.46,20058
11/5/2018 9:45,42.48,17882
11/5/2018 9:46,42.47,12987
11/5/2018 9:47,42.45,19741
11/5/2018 9:48,42.43,12704
11/5/2018 9:49,42.45,19148
11/5/2018 9:50,42.5,21424
11/5/2018 9:51,42.49,15588
11/5/2018 9:52,42.49,22042
11/5/2018 9:53,42.49,13805
11/5/2018 9:54,42.54,26602
11/5/2018 9:55,42.53,14545
11/5/2018 9:56,42.52,16280
11/5/2018 9:57,42.53,27469
11/5/2018 9:58,42.54,18630
11/5/2018 9:59,42.57,22699
11/5/2018 10:00,42.57,16632
11/5/2018 10:01,42.59,16568
11/5/2018 10:02,42.6,26815
11/5/2018 10:03,42.59,24942
11/5/2018 10:04,42.62,38804
11/5/2018 10:05,42.64,21681
11/5/2018 10:06,42.68,20249
11/5/2018 10:07,42.69,11526
11/5/2018 10:08,42.72,19266
11/5/2018 10:09,42.68,22211
11/5/2018 10:10,42.68,17099
11/5/2018 10:11,42.68,18882
11/5/2018 10:12,42.63,16109
11/5/2018 10:13,42.63,20947
11/5/2018 10:14,42.62,13886
11/5/2018 10:15,42.6,6677
11/5/2018 10:16,42.63,23608
11/5/2018 10:17,42.61,15501
11/5/2018 10:18,42.62,25735
11/5/2018 10:19,42.62,18168
11/5/2018 10:20,42.59,17750
11/5/2018 10:21,42.58,14331
11/5/2018 10:22,42.58,22134
11/5/2018 10:23,42.55,19607
11/5/2018 10:24,42.52,20439
11/5/2018 10:25,42.51,20425
11/5/2018 10:26,42.49,8223
11/5/2018 10:27,42.5,15355
11/5/2018 10:28,42.49,15344
11/5/2018 10:29,42.53,28536
11/5/2018 10:30,42.5,15008
11/5/2018 10:31,42.49,39509
11/5/2018 10:32,42.5,26067
11/5/2018 10:33,42.49,9731
11/5/2018 10:34,42.5,25481
11/5/2018 10:35,42.53,18750
11/5/2018 10:36,42.56,30623
11/5/2018 10:37,42.54,12945
11/5/2018 10:38,42.54,21154
11/5/2018 10:39,42.53,13574
11/5/2018 10:40,42.55,24482
11/5/2018 10:41,42.53,11050
11/5/2018 10:42,42.52,19796
11/5/2018 10:43,42.53,9821
11/5/2018 10:44,42.51,10507
11/5/2018 10:45,42.52,21275
11/5/2018 10:46,42.52,16598
11/5/2018 10:47,42.54,18663
11/5/2018 10:48,42.54,11515
11/5/2018 10:49,42.53,10317
11/5/2018 10:50,42.52,11586
11/5/2018 10:51,42.55,15694
11/5/2018 10:52,42.54,6563
11/5/2018 10:53,42.57,15558
11/5/2018 10:54,42.53,7183
11/5/2018 10:55,42.5,10564
11/5/2018 10:56,42.49,8555
11/5/2018 10:57,42.48,11497
11/5/2018 10:58,42.46,3818
11/5/2018 10:59,42.46,21361
11/5/2018 11:00,42.44,13979
11/5/2018 11:01,42.44,15666
11/5/2018 11:02,42.45,21655
11/5/2018 11:03,42.43,5247
11/5/2018 11:04,42.45,19607
11/5/2018 11:05,42.45,10180
11/5/2018 11:06,42.43,9971
11/5/2018 11:07,42.43,14222
11/5/2018 11:08,42.44,15877
11/5/2018 11:09,42.44,14351
11/5/2018 11:10,42.43,10040
11/5/2018 11:11,42.42,9040
