Dates,Close,Volume
11/5/2018 8:30,42.56,173879
11/5/2018 8:31,42.5525,42041
11/5/2018 8:32,42.46,58007
11/5/2018 8:33,42.455,77558
11/5/2018 8:34,42.54,57039
11/5/2018 8:35,42.53,47910
11/5/2018 8:36,42.565,77939
11/5/2018 8:37,42.58,56963
11/5/2018 8:38,42.505,26859
11/5/2018 8:39,42.525,44184
11/5/2018 8:40,42.59,53102
11/5/2018 8:41,42.55,27967
11/5/2018 8:42,42.62,64748
11/5/2018 8:43,42.57,100597
11/5/2018 8:44,42.61,49844
11/5/2018 8:45,42.545,47220
11/5/2018 8:46,42.5,60500
11/5/2018 8:47,42.555,26749
11/5/2018 8:48,42.5,27905
11/5/2018 8:49,42.48,33059
11/5/2018 8:50,42.53,29034
11/5/2018 8:51,42.46,37597
11/5/2018 8:52,42.42,41407
11/5/2018 8:53,42.4246,45610
11/5/2018 8:54,42.39,21398
11/5/2018 8:55,42.41,22560
11/5/2018 8:56,42.44,23557
11/5/2018 8:57,42.43,32676
11/5/2018 8:58,42.41,9918
11/5/2018 8:59,42.415,15856
11/5/2018 9:00,42.4088,28124
11/5/2018 9:01,42.39,24741
11/5/2018 9:02,42.425,52650
11/5/2018 9:03,42.43,19550
11/5/2018 9:04,42.44,16244
11/5/2018 9:05,42.435,19454
11/5/2018 9:06,42.41,47211
11/5/2018 9:07,42.43,13977
11/5/2018 9:08,42.43,18523
11/5/2018 9:09,42.3966,18363
11/5/2018 9:10,42.39,19863
11/5/2018 9:11,42.38,13969
11/5/2018 9:12,42.3403,7304
11/5/2018 9:13,42.3866,28960
11/5/2018 9:14,42.39,19245
11/5/2018 9:15,42.3989,21874
11/5/2018 9:16,42.355,18714
11/5/2018 9:17,42.36,33210
11/5/2018 9:18,42.33,16458
11/5/2018 9:19,42.39,10334
11/5/2018 9:20,42.36,8229
11/5/2018 9:21,42.3333,16816
11/5/2018 9:22,42.335,17094
11/5/2018 9:23,42.31,10037
11/5/2018 9:24,42.32,17374
11/5/2018 9:25,42.28,17000
11/5/2018 9:26,42.31,20955
11/5/2018 9:27,42.3385,10157
11/5/2018 9:28,42.36,17387
11/5/2018 9:29,42.37,9210
11/5/2018 9:30,42.38,11999
11/5/2018 9:31,42.4,10629
11/5/2018 9:32,42.42,20784
11/5/2018 9:33,42.44,39254
11/5/2018 9:34,42.43,12104
11/5/2018 9:35,42.46,27540
11/5/2018 9:36,42.43,9700
11/5/2018 9:37,42.44,18443
11/5/2018 9:38,42.455,23956
11/5/2018 9:39,42.44,15638
11/5/2018 9:40,42.48,10400
11/5/2018 9:41,42.495,33987
