date,open,high,low,close
1/3/2007,67.269997,67.269997,65.75,65.980003
1/4/2007,65.660004,65.699997,65.040001,65.110001
1/5/2007,64.919998,65.050003,64.260002,64.970001
1/8/2007,65,65.160004,64.089996,64.290001
1/9/2007,62.299999,62.73,61.849998,62.439999
1/10/2007,61.93,62.02,61.290001,61.470001
1/11/2007,62,62.75,61.549999,61.59
1/12/2007,62.360001,64.779999,62.220001,64.639999
1/16/2007,64.370003,64.5,63.029999,63.279999
1/17/2007,62.700001,63.700001,62.700001,63.59
1/18/2007,64.279999,64.449997,63.259998,63.610001
1/19/2007,63.810001,64.559998,63.810001,64.519997
1/22/2007,64.75,64.839996,63.66,63.91
1/23/2007,64.540001,65.300003,64.5,65.220001
1/24/2007,65.25,65.360001,64.459999,65.059998
1/25/2007,64.540001,64.540001,63.560001,63.650002
1/26/2007,63.91,64.029999,63.330002,63.73
1/29/2007,63.169998,63.400002,62.799999,62.830002
1/30/2007,63.080002,63.75,62.959999,63.599998
1/31/2007,62.810001,63.639999,62.509998,63.509998
2/1/2007,63.720001,64.029999,63.529999,63.759998
2/2/2007,63.360001,63.77,63.009998,63.650002
2/5/2007,63.709999,63.950001,63.580002,63.790001
2/6/2007,63.02,63.470001,62.919998,63.25
2/7/2007,63.900002,63.959999,63.209999,63.48
2/8/2007,62.57,63.630001,62.549999,63.5
2/9/2007,63.040001,63.25,62.82,62.900002
2/12/2007,62.200001,62.34,62.049999,62.18
2/13/2007,61.970001,62.860001,61.939999,62.810001
2/14/2007,62.75,63.060001,62.439999,62.830002
2/15/2007,63.029999,63.16,62.66,63.09
2/16/2007,62.610001,62.889999,62.43,62.66
2/20/2007,61.959999,62.389999,61.900002,62.25
2/21/2007,61.549999,61.689999,60.970001,61.5
2/22/2007,61.310001,61.869999,61.18,61.790001
2/23/2007,62.869999,63.41,62.720001,63.16
2/26/2007,64.260002,64.400002,63.650002,63.889999
2/27/2007,63.040001,63.450001,61.599998,61.869999
2/28/2007,62.310001,62.349998,61.299999,61.540001
3/1/2007,61,61.490002,60.330002,61.060001
3/2/2007,60.580002,60.779999,59.84,60.09
3/5/2007,58.66,59.619999,58.619999,58.799999
